keys,en,ru,bua,bg,mn,bo,cmn,es,ar,fr,pt,de,ko,ja
Length of a circle,Length of a circle,Длина круга,Нэгэ таталгын тоо,Дължина на окръжност,Тойргийн урт,སྒོར་ཐིག་གི་རིང་ཚད།,圆的长度,Longitud de un círculo,طول الدائرة,Longueur d'un cercle,Comprimento de um círculo,Länge eines Kreises,원의 길이,円の長さ
Count of circles,Count of circles,Количество кругов,Хэды дахин татаха,Брой обиколки,Тойргийн тоо,སྒོར་ཐིག་གི་གྲངས།,圆圈数,Número de círculos,عدد الدوائر,Nombre de cercles,Número de círculos,Anzahl der Kreise,원의 개수,円の数
Sound on click,Sound on click,Играть мелодию на нажатии,Татахадаа аялга наадаха,Да възпроизвежда мелодия при натискане,Товшоод аялгуу тоглоорой,གནོན་ནས་དབྱངས་དབྱངས་གཏོང་།,点击播放旋律,Reproducir melodía al hacer clic,تشغيل اللحن عند النقر,Jouer une mélodie au clic,Tocar melodia ao clicar,Melodie per Klick abspielen,클릭하면 멜로디 재생,クリックするとメロディーを再生します
Sound on circle,Sound on circle,Играть мелодию на круге,Нэгэ таталгын дүүрхэдэ аялга наадаха,Да свиря мелодия на кръг,Тойрог дээр аялгуу тогло,དཀྱིལ་འཁོར་གྱི་སྟེང་དུ་རོལ་དབྱངས་དཀྲོལ་བ།,在圆圈上演奏旋律,Toca una melodía en un círculo.,تشغيل اللحن على دائرة,Jouer une mélodie sur un cercle,Toque uma melodia em círculo,Spielen Sie eine Melodie auf einem Kreis,원을 그리며 멜로디를 연주하다,円の上でメロディーを演奏する
Save history,Save history,Сохранять историю,Түүхэ бэшэхэ,Да се запази историята,Түүхийг хадгалах,ལོ་རྒྱུས་སྲུང་སྐྱོབ།,保存历史,Preservar la historia,الحفاظ على التاريخ,Préserver l'histoire,Preservar a história,Geschichte bewahren,역사를 보존하다,歴史を保存する
History,History,История,Түүхэ,История,Өгүүллэг,སྒྲུང,故事,Historia,قصة,Histoire,História,Geschichte,이야기,話
About,About,О приложении,Энэ приложени тухай,За приложението,Хэрэглээний тухай,ཞུ་ཡིག་གི་སྐོར།,关于应用程序,Acerca de la aplicación,حول التطبيق,À propos de l'application,Sobre a aplicação,Über die Anwendung,신청서에 관하여,アプリケーションについて
Back,Back,Назад,Гэдэргээ,Назад,Буцах,རྒྱབ་ངོས,后退,Atrás,خلف,Dos,Voltar,Zurück,뒤쪽에,戻る
Today: ,Today: ,Сегодня: ,Мүнөөдэр: ,Днес: ,Өнөөдөр: ,དེ་རིང: ,今天： ,Hoy:,اليوم:,Aujourd'hui:,Hoje:,Heute:,오늘:,今日：
This week: ,This week: ,Эта неделя: ,Энэ гараг: ,Тази седмица: ,Энэ долоо хоногт: ,གཟའ་འཁོར་འདིར། ,本星期： ,Esta semana:,هذا الاسبوع:,Cette semaine:,Esta semana:,Diese Woche:,이번 주:,今週：
